Arrests by Offense,Louisa,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",3,0
Robbery,0,0
Aggravated Assault,4,0
Simple Assault/Intimidation,83,9
Arson,1,0
Extortion/Blackmail,0,0
Burglary,14,2
Larceny,21,1
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,3,0
Fraud,2,0
Embezzlement,5,0
Stolen Property,0,0
Vandalism,9,0
Drug/Narcotic Offenses,96,3
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,8,0
TOTAL GROUP A,253,15
Bad Checks,1,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,3,5
Driving Under Influence,69,0
Drunkenness,17,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,0,0
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,5,1
Conspiracy,0,0
All Other (except Traffic),35,2
TOTAL GROUP B,130,8
GRAND TOTAL,383,23
