Arrests by Offense,Bedford,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,3,0
"Sex Offenses, Forcible",4,0
Robbery,4,1
Aggravated Assault,5,0
Simple Assault/Intimidation,73,15
Arson,0,0
Extortion/Blackmail,0,0
Burglary,4,0
Larceny,13,10
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,11,0
Fraud,20,0
Embezzlement,1,0
Stolen Property,0,0
Vandalism,13,3
Drug/Narcotic Offenses,123,8
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,14,0
TOTAL GROUP A,292,37
Bad Checks,112,0
Curfew/Loitering/Vagrancy,0,5
Disorderly Conduct,11,6
Driving Under Influence,106,3
Drunkenness,80,0
"Family Offenses, Nonforcible",2,0
Liquor Laws Violations,49,7
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,57,2
Conspiracy,0,0
All Other (except Traffic),144,29
TOTAL GROUP B,562,52
GRAND TOTAL,854,89
