Arrests by Offense,Chesapeake,
,Adult,Juvenile
Murder,5,0
Manslaughter,0,0
Kidnaping,23,3
"Sex Offenses, Forcible",25,1
Robbery,46,8
Aggravated Assault,180,30
Simple Assault/Intimidation,1225,61
Arson,1,0
Extortion/Blackmail,0,0
Burglary,106,25
Larceny,702,43
Motor Vehicle Theft,32,9
Counterfeiting/Forgery,62,0
Fraud,107,1
Embezzlement,52,1
Stolen Property,57,5
Vandalism,8,2
Drug/Narcotic Offenses,1279,100
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,2,0
Prostitution,11,0
Bribery,1,0
Weapon Law Violations,109,12
TOTAL GROUP A,434,301
Bad Checks,89,0
Curfew/Loitering/Vagrancy,6,82
Disorderly Conduct,87,22
Driving Under Influence,14,5
Drunkenness,562,1
"Family Offenses, Nonforcible",24,1
Liquor Laws Violations,152,39
Peeping Tom,1,0
Runaway,0,466
Trespass of Real Property,269,18
Conspiracy,6,0
All Other (except Traffic),2286,188
TOTAL GROUP B,4486,822
GRAND TOTAL,8520,1123
