Arrests by Offense,Pulaski,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",7,0
Robbery,9,0
Aggravated Assault,28,6
Simple Assault/Intimidation,189,20
Arson,2,0
Extortion/Blackmail,0,0
Burglary,33,6
Larceny,211,24
Motor Vehicle Theft,6,0
Counterfeiting/Forgery,30,0
Fraud,15,0
Embezzlement,5,0
Stolen Property,3,3
Vandalism,17,3
Drug/Narcotic Offenses,171,7
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,16,4
TOTAL GROUP A,743,73
Bad Checks,411,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,33,6
Driving Under Influence,149,2
Drunkenness,285,0
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,13,2
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,67,3
Conspiracy,0,0
All Other (except Traffic),2106,175
TOTAL GROUP B,3065,188
GRAND TOTAL,3808,261
