Arrests by Offense,Lexington,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",1,0
Robbery,5,0
Aggravated Assault,1,0
Simple Assault/Intimidation,19,1
Arson,1,0
Extortion/Blackmail,0,0
Burglary,2,1
Larceny,13,1
Motor Vehicle Theft,1,2
Counterfeiting/Forgery,0,0
Fraud,2,0
Embezzlement,2,0
Stolen Property,0,0
Vandalism,4,0
Drug/Narcotic Offenses,15,1
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,4,0
TOTAL GROUP A,70,6
Bad Checks,1,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,1,0
Driving Under Influence,56,1
Drunkenness,83,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,15,1
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,5,2
Conspiracy,0,0
All Other (except Traffic),9,0
TOTAL GROUP B,171,4
GRAND TOTAL,241,10
