Arrests by Offense,Martinsville,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",3,3
Robbery,8,0
Aggravated Assault,11,7
Simple Assault/Intimidation,169,44
Arson,3,0
Extortion/Blackmail,0,0
Burglary,10,5
Larceny,117,11
Motor Vehicle Theft,4,0
Counterfeiting/Forgery,24,4
Fraud,15,0
Embezzlement,7,1
Stolen Property,1,0
Vandalism,30,16
Drug/Narcotic Offenses,64,9
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,1,0
Weapon Law Violations,15,1
TOTAL GROUP A,484,101
Bad Checks,26,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,41,30
Driving Under Influence,73,1
Drunkenness,119,3
"Family Offenses, Nonforcible",3,0
Liquor Laws Violations,12,3
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,23,4
Conspiracy,0,0
All Other (except Traffic),604,76
TOTAL GROUP B,901,117
GRAND TOTAL,1385,218
