Arrests by Offense,King George,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,3,0
"Sex Offenses, Forcible",6,4
Robbery,0,0
Aggravated Assault,6,2
Simple Assault/Intimidation,44,14
Arson,0,0
Extortion/Blackmail,0,0
Burglary,6,2
Larceny,34,9
Motor Vehicle Theft,2,2
Counterfeiting/Forgery,3,0
Fraud,2,0
Embezzlement,1,1
Stolen Property,0,0
Vandalism,13,7
Drug/Narcotic Offenses,86,9
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,6,3
TOTAL GROUP A,212,53
Bad Checks,46,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,5,33
Driving Under Influence,152,0
Drunkenness,43,0
"Family Offenses, Nonforcible",4,0
Liquor Laws Violations,16,7
Peeping Tom,0,0
Runaway,0,5
Trespass of Real Property,12,2
Conspiracy,0,0
All Other (except Traffic),305,11
TOTAL GROUP B,583,58
GRAND TOTAL,795,111
