Arrests by Offense,Colonial Heights,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,1
"Sex Offenses, Forcible",2,0
Robbery,2,3
Aggravated Assault,15,6
Simple Assault/Intimidation,135,45
Arson,1,12
Extortion/Blackmail,0,0
Burglary,8,8
Larceny,280,179
Motor Vehicle Theft,4,2
Counterfeiting/Forgery,17,0
Fraud,25,0
Embezzlement,31,1
Stolen Property,6,1
Vandalism,15,34
Drug/Narcotic Offenses,156,28
"Sex Offenses, Nonforcible",1,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,15,10
TOTAL GROUP A,713,330
Bad Checks,44,0
Curfew/Loitering/Vagrancy,0,44
Disorderly Conduct,16,25
Driving Under Influence,91,2
Drunkenness,59,1
"Family Offenses, Nonforcible",26,1
Liquor Laws Violations,23,24
Peeping Tom,0,0
Runaway,0,39
Trespass of Real Property,26,15
Conspiracy,0,0
All Other (except Traffic),827,52
TOTAL GROUP B,1112,203
GRAND TOTAL,1825,533
