Arrests by Offense,Chesterfield,
,Adult,Juvenile
Murder,9,1
Manslaughter,0,0
Kidnaping,51,14
"Sex Offenses, Forcible",61,30
Robbery,75,23
Aggravated Assault,140,70
Simple Assault/Intimidation,1137,1105
Arson,5,17
Extortion/Blackmail,5,0
Burglary,142,191
Larceny,989,714
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,201,16
Fraud,185,30
Embezzlement,108,5
Stolen Property,13,24
Vandalism,175,280
Drug/Narcotic Offenses,927,286
"Sex Offenses, Nonforcible",9,5
Pornography,7,0
Gambling,0,0
Prostitution,32,0
Bribery,0,0
Weapon Law Violations,134,93
TOTAL GROUP A,4405,2904
Bad Checks,156,0
Curfew/Loitering/Vagrancy,1,348
Disorderly Conduct,583,305
Driving Under Influence,1094,10
Drunkenness,12,12
"Family Offenses, Nonforcible",39,1
Liquor Laws Violations,124,91
Peeping Tom,2,0
Runaway,0,780
Trespass of Real Property,206,167
Conspiracy,0,0
All Other (except Traffic),3236,368
TOTAL GROUP B,5453,2082
GRAND TOTAL,9858,4986
