2011-2012 Comparison Stats,Percentage +/-
Drug Offenses,+114%
Breaking & Entering/Burglary,+175%
Total Calls for Service,+3.2%
Misdemeanor Arrests,"-25.2%,"
Felony Arrests,-28.2%
Noise Ordinance Violations,-71%
