Date ,Charge ,Street ,Zipcode ,SubDivsion
8/26/2006,"DAMAGE PROPERTY, BUSINESS ",2ND STREET ,23185,
8/22/2006,"MANUF, SALE, POSSESSION CONTROLLED SUBSTANCE ",2ND STREET ,23185,
9/12/2006,"MANUF, SALE, POSSESSION CONTROLLED SUBSTANCE ",2ND STREET ,23185,
7/4/2006,"ASSAULT, SIMPLE, DOMESTIC ",ANNAPOLIS CIRCLE ,23185,FAIRFIELD WILLIAMSBURG AT KINGSGATE
2/18/2006,"ASSAULT, SIMPLE, DOMESTIC ",APOTHECARY PLACE ,23185,WILLIAMSBURG BLUFFS
2/2/2006,"DAMAGE PROPERTY, PRIVATE ",APOTHECARY PLACE ,23185,WILLIAMSBURG BLUFFS
7/1/2006,"LARCENY,FROM MOTOR VEHICLE ",ARDEN DRIVE ,23185,GREENSPRINGS
9/3/2006,CITIZEN REQUESTED ASSISTANCE ,BANNEKER DRIVE ,23185,CARVER GARDENS
12/11/2006,UNAUTHORIZED USE OF VEHICLE ,BANNEKER DRIVE ,23185,CARVER GARDENS
11/28/2006,"ASSAULT, SIMPLE, DOMESTIC ",BANNEKER DRIVE ,23185,CARVER GARDENS
9/30/2006,CREDIT CARD FRAUD ,BANNEKER DRIVE ,23185,CARVER GARDENS
8/20/2006,"LARCENY,FROM MOTOR VEHICLE ",BANNEKER DRIVE ,23185,CARVER GARDENS
8/23/2006,"LARCENY,FROM MOTOR VEHICLE ",BANNEKER DRIVE ,23185,CARVER GARDENS
6/22/2006,CITIZEN REQUESTED ASSISTANCE ,BANNEKER DRIVE ,23185,CARVER GARDENS
6/9/2006,CITIZEN REQUESTED ASSISTANCE ,BANNEKER DRIVE ,23185,CARVER GARDENS
5/5/2006,ATTEMPTED SUICIDE ,BANNEKER DRIVE ,23185,CARVER GARDENS
4/17/2006,CITIZEN REQUESTED ASSISTANCE ,BANNEKER DRIVE ,23185,CARVER GARDENS
4/4/2006,CITIZEN REQUESTED ASSISTANCE ,BANNEKER DRIVE ,23185,CARVER GARDENS
3/9/2006,PETIT LARCENY ,BANNEKER DRIVE ,23185,CARVER GARDENS
2/6/2006,GRAND LARCENY ,BANNEKER DRIVE ,23185,CARVER GARDENS
