Communication Services,FY 2011,FY 2010,FY 2009
"Calls received (Police, Fire and Rescue)","37,467","38,241","38,652"
Escorts,325,518,433
Accidents Worked,866,1083,1045
Assist Motorists,2316,2477,2301
Alarms Answered,908,884,1093
First Aid (Police Response),1881,944,2278
Fire Dept.(Police Respone),321,145,337
Total of Communication Services,"44,084","44,292","46,139**"
