Classification,Number of Offenses
Pocket-Picking,413
Purse-Snatching,335
Shoplifting,19103
Theft From Building,23103
Theft From Coin-Operated Machine,1045
Theft From Motor Vehicles,31227
Theft of Motor Vehicle Parts & Accessories,13890
All Other Larceny,56738
TOTAL,145854
