Day/Time,00:00-01:59,02:00-03:59,04:00-05:59,06:00-07:59,08:00-09:59,10:00-11:59,12:00-13:59,14:00-15:59,16:00-17:59,18:00-19:59,20:00-21:59,22:00-23:59,Unk
Monday,184,71,65,127,156,107,139,128,189,232,265,280,91
Tuesday,169,86,49,117,136,111,148,144,177,212,289,262,111
Wednesday,191,77,48,129,160,102,148,133,161,228,258,221,104
Thursday,178,68,54,125,135,125,124,138,200,235,249,274,98
Friday,208,79,44,129,153,132,165,177,279,266,282,365,124
Saturday,235,121,69,85,128,147,180,126,194,252,302,340,105
Sunday,243,127,61,76,127,135,147,144,169,206,268,283,84
TOTAL,1408,629,390,788,995,859,1051,990,1369,1631,1913,2025,717
