Group A Offenses,Year,Number of Offenses,"Rate Per 100,000"
Murder,2006,398,5.21
Kidnapping/Abduction,2006,2164,28.31
Forcible Sex Offenses,2006,5475,71.64
Robbery,2006,7761,101.55
Aggravated Assaults,2006,11664,152.61
Simple Assaults/Intimidation,2006,95067,1243.86
Arson,2006,1737,22.73
Extortion/Blackmail,2006,105,1.37
Burglary,2006,31529,412.53
Larceny,2006,145854,1908.36
Motor Vehicle Theft,2006,14765,193.19
Counterfeiting/Forgery,2006,8495,111.15
Fraud,2006,20887,273.29
Embezzlement,2006,3520,46.06
Stolen Property,2006,1670,21.85
Damage/Vandalism,2006,96618,1264.16
Drug/Narcotics,2006,44935,587.93
Nonforcible Sex Offenses,2006,255,3.34
Pornography,2006,298,3.9
Gambling,2006,161,2.11
Prostitution,2006,1030,13.48
Bribery,2006,22,0.29
Weapon Law Violations,2006,10817,141.53
