Violent Crime Where Offender(s) Suspected of Using By Offense,,,
Suspected of Using,Alcohol,Computer Equipment,Drugs
Murder/Non-Negl. Mansl.,19,1,8
Aggravated Assault,1254,15,163
Forcible Rape,222,4,69
Forcible Sodomy,39,16,9
Sexual Aslt W/Object,29,0,2
Forcible Fondling,105,38,13
Robbery,178,4,77
Total,1846,78,341
