Circumstances of Aggravated Assaults,Number
Argument,4378
Assault on Law Officer,680
Drug Dealing,59
Gangland,43
Juvenile Gang,67
Lover’s Quarrel,397
Other Felony Involved,108
Other Circumstances,2328
Unknown Circumstances,3701
