Arrests by Offense,Alexandria,,Bedford,,Bristol,,Buena Vista,,Charlottesville,,Chesapeake,,Colonial Heights,,Covington,,Danville,,Emporia,,Fairfax,,Falls Church,,Franklin,,Fredericksburg,,Galax,,Hampton,,Harrisonburg,,Hopewell,,Lexington,,Lynchburg,,Manassas,,Manassas Park,,Martinsville,,Newport News,,Norfolk,,Norton,,Petersburg,,Poquoson,,Portsmouth,,Radford,,Richmond,,Roanoke,,Salem,,Staunton,,Suffolk,,Virginia Beach,,Waynesboro,,Williamsburg,,Winchester,,Total City,
,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile,Adult,Juvenile
Murder,2,2,0,0,3,0,0,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,9,2,2,0,1,0,0,0,3,0,1,0,0,0,0,0,12,1,14,0,0,0,6,2,0,0,14,0,1,0,39,0,8,2,0,0,0,0,6,2,22,0,0,0,1,0,0,0,152,11
Manslaughter,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
Kidnaping,5,0,3,0,1,0,1,0,5,0,25,2,4,0,0,0,3,0,1,0,0,0,0,0,3,0,8,1,0,0,34,5,11,0,7,0,0,0,26,0,2,0,0,0,4,0,28,2,28,2,0,0,29,0,1,0,37,0,2,0,66,4,21,0,3,0,3,0,16,0,62,18,3,0,6,2,7,0,455,36
"Sex Offenses, Forcible",5,0,4,1,12,0,0,0,3,1,36,2,6,1,1,0,1,0,2,0,0,0,1,0,0,0,14,4,1,0,34,13,5,1,7,0,0,0,15,0,14,0,17,0,3,1,69,31,73,12,0,0,14,4,0,0,17,3,3,0,53,4,17,3,11,3,3,1,12,2,73,27,7,4,2,0,10,1,545,119
Robbery,45,20,2,0,8,0,0,0,12,8,61,9,8,3,0,0,7,0,3,0,0,0,2,1,6,5,10,0,0,0,68,53,5,3,12,0,3,0,24,6,27,5,1,0,4,1,88,52,89,27,0,0,23,6,0,0,33,7,4,0,185,18,54,16,14,7,2,1,25,0,143,69,9,1,6,0,6,1,989,319
Aggravated Assault,74,13,13,1,35,1,2,0,47,2,163,23,7,5,8,0,19,0,16,4,0,0,4,0,14,4,30,3,8,1,93,18,31,4,27,0,1,0,47,4,22,3,8,1,19,4,238,63,71,16,7,0,85,13,1,1,127,4,24,0,354,30,255,25,13,2,16,5,34,4,175,56,59,8,5,1,17,4,2169,323
Simple Assault/Intimidation,386,77,92,10,145,5,3,0,325,14,1234,57,128,43,55,5,467,0,87,14,13,3,38,6,109,1,118,3,53,4,881,139,176,11,194,0,24,0,679,35,182,2,40,6,182,33,1506,362,851,46,25,1,492,56,31,7,868,40,133,2,1354,299,891,144,135,11,172,24,490,15,3073,789,198,32,97,10,219,39,16146,2345
Arson,1,1,0,0,1,0,0,0,1,0,0,0,2,8,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0,2,7,1,0,0,0,0,0,3,2,3,1,0,0,0,1,4,20,2,0,0,0,0,0,0,0,2,1,1,0,8,4,6,2,0,0,2,0,0,0,18,32,2,3,0,0,1,0,64,82
Extortion/Blackmail,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,1,0,0,0,0,0,0,3,19,1,0,0,0,0,0,10,22
