Type of Assignment,Number Assaulted,Percent Distribution
Two-Man Vehicle,145,10.8
One-Man Vehicle,,
Alone,444,33
Assisted,377,28
Detective or Special Assignment,,
Alone,13,1
Assisted,32,2.4
Other Assignments,,
Alone,90,6.7
Assisted,245,18.2
