Group B Offense Categories,Total,White,Black,American Indian/Alaskan Native,Asian/Pacific Islander
Bad Checks,5924,4209,1700,1,14
Curfew/Loitering/Vagrancy Violations,3122,1547,1550,1,24
Disorderly Conduct,6988,3082,3847,2,57
Driving Under the Influence,23865,19078,4507,31,249
Drunkenness,28031,21121,6730,35,145
"Family Offenses, Nonviolent",1517,634,875,,8
Liquor Law Violations,11144,8856,2124,12,152
Peeping Tom,77,56,19,,2
Runaway,5261,2558,2657,4,42
Trespass of Real Property,9398,4102,5232,5,59
Conspiracy to Commit Group A Offense,102,70,32,,
Conspiracy to Commit Group B Offense,47,26,21,,
All Other Offenses,96255,53598,42030,63,564
Total Group B Arrests,191731,118937,71324,154,1316
