Cities and State Police,POPULATION ,"INCIDENT RATE PER 100,000",TOTAL INCIDENTS ,Murder and Non-negligent Manslaughter ,Kidnaping/Abduction ,Forcible Rape ,Other Forcible Sex Offenses,Robbbery,Aggravated Assault,Simple Assault/Intimidation,Arson,Extortion/Blackmail,Burglary,Larceny,Motor Vehicle Theft,Counterfeiting/Forgery,Fraud,Embezzlement,Stolen Property,Destruction/Damage/Vandalism,Drug/Narcotic Offenses,Non-forcible Sex Offenses,Pornography,Gambling,Prostitution,Bribery,Weapon Law Violation
Alexandria PD,132343,5249.24,6947,7,22,27,7,207,208,1338,7,3,385,2516,388,84,401,89,105,1511,511,0,0,8,13,0,105
State Police,,,11,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,7,0,0,0,0,0,0
Bedford PD,6091,11328.19,690,0,3,3,9,4,15,180,1,1,23,173,9,19,19,3,3,123,143,3,0,0,0,0,29
State Police,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Bristol PD,17406,12219.92,2127,3,6,9,23,16,69,437,6,1,118,645,44,214,93,13,9,406,215,0,1,4,6,0,37
State Police,,,8,0,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,1,2,0,0,0,0,0,0
Buena Vista PD,6397,1328.75,85,0,2,0,2,0,5,8,0,0,2,38,2,1,1,1,0,22,6,0,0,0,0,0,1
State Police,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Charlottesville PD,39758,12135.92,4825,3,15,31,31,77,215,878,12,0,322,1718,187,60,175,43,3,1553,311,1,0,0,8,2,60
State Police,,,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,0,0
Chesapeake PD,215586,6659.99,14358,7,105,61,163,281,624,4428,30,7,1357,5263,464,273,974,144,60,284,1492,13,3,2,11,2,334
State Police,,,40,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,0,35,0,0,0,0,1,1
Colonial Heights PD,17349,9107.15,1580,0,13,1,28,20,9,241,10,0,73,624,31,57,114,52,7,272,196,0,1,0,0,0,24
State Police,,,22,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,11,0,0,0,0,0,2
Covington PD,5719,7623.71,436,0,0,3,5,3,7,122,5,0,25,126,10,5,7,2,0,106,27,0,0,0,0,0,7
State Police,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Danville PD,45700,10761.49,4918,4,12,5,2,75,109,1252,11,2,427,1585,112,103,118,39,1,1032,384,4,0,0,6,1,99
State Police,,,5,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0
Emporia PD,5392,16709.94,901,1,1,1,5,19,32,234,2,0,54,271,18,37,32,10,2,204,84,0,0,0,0,0,19
State Police,,,33,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,30,0,0,0,0,0,0
Fairfax PD0,22786,3080.84,702,1,4,2,8,13,8,150,0,0,22,286,29,10,34,10,0,162,15,0,1,0,0,0,4
State Police,,,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0
Falls Church PD,11085,6296.8,698,0,1,1,2,8,11,104,8,0,26,244,24,6,37,6,0,208,52,0,0,1,0,2,9
State Police,,,3,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0
Franklin PD,8304,10645.47,884,0,6,6,3,17,30,274,0,0,38,229,19,17,9,9,10,227,85,1,0,2,0,0,34
State Police,,,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
