,2009,2010,2011,2012,2013
Simple Assault,87,78,75,79,101
Burglary,26,30,33,15,19
Larceny,187,145,142,142,128
Forgery,18,21,13,14,16
Fraud,39,34,42,39,31
Embezzlement,6,5,3,3,2
Destruction of Property,91,104,86,86,94
Drug Offenses,25,94,29,57,83
Weapon Law Violations,11,14,11,6,8
Total Select Part B Offenses,490,525,434,441,482
