Date,Street Address,Number,Notes
3/3/2015,Lexington St,3,
3/4/2015,Pine Grove,1,
3/4/2015,Beverly St,1,
3/9/2015,W. Mercury Blvd,1,DOA
3/9/2015,Kecoughtan/Greenbriar,1,DOA
3/10/2015,Cynthia Dr,1,
3/11/2015,Chesapeake Ave,1,
3/11/2015,Signature Way,1,
3/11/2015,E. Tyler/ Emancipation,1,
3/12/2015,Chesapeake Ave,1,
3/13/2015,Camilla,1,DOA
3/13/2015,Chesterfield,1,
3/16/2015,Victoria/ Worster,1,DOA
3/16/2015,Inglewood Dr,1,
3/16/2015,Chesterfield,1,
3/17/2015,Kenmore Dr,1,
3/17/2015,Davenport,1,
3/17/2015,Chesapeake Ave,1,
3/20/2015,Chesapeake Ave,1,
3/23/2015,Crescent Dr,1,
3/24/2015,Salem,3,
3/25/2015,E. Russell,1,
3/25/2015,Salem,1,
3/25/2015,Industry Dr,2,
3/26/2015,Industry Dr,7,
3/30/2015,Nollis Ct,1,
3/31/2015,N. Mallory/ W. Kelly,1,DOA
