Arrests by Offense,Staunton,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",11,3
Robbery,3,1
Aggravated Assault,22,6
Simple Assault/Intimidation,330,27
Arson,4,0
Extortion/Blackmail,0,0
Burglary,9,1
Larceny,91,61
Motor Vehicle Theft,5,8
Counterfeiting/Forgery,57,0
Fraud,81,3
Embezzlement,8,0
Stolen Property,1,0
Vandalism,20,13
Drug/Narcotic Offenses,41,8
"Sex Offenses, Nonforcible",1,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,17,3
TOTAL GROUP A,703,134
Bad Checks,54,0
Curfew/Loitering/Vagrancy,,1
Disorderly Conduct,45,16
Driving Under Influence,114,2
Drunkenness,222,1
"Family Offenses, Nonforcible",4,
Liquor Laws Violations,15,21
Peeping Tom,0,0
Runaway,0,3
Trespass of Real Property,41,12
Conspiracy,0,0
All Other (except Traffic),128,11
TOTAL GROUP B,623,67
GRAND TOTAL,1326,201
