Arrests by Offense,Suffolk,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,17,0
"Sex Offenses, Forcible",20,1
Robbery,16,0
Aggravated Assault,53,6
Simple Assault/Intimidation,546,13
Arson,0,1
Extortion/Blackmail,0,0
Burglary,39,1
Larceny,168,3
Motor Vehicle Theft,11,6
Counterfeiting/Forgery,19,0
Fraud,15,0
Embezzlement,6,0
Stolen Property,15,0
Vandalism,37,3
Drug/Narcotic Offenses,173,11
"Sex Offenses, Nonforcible",1,0
Pornography,5,0
Gambling,,0
Prostitution,2,0
Bribery,0,0
Weapon Law Violations,52,1
TOTAL GROUP A,"1,198",46
Bad Checks,205,0
Curfew/Loitering/Vagrancy,,2
Disorderly Conduct,23,1
Driving Under Influence,176,0
Drunkenness,138,3
"Family Offenses, Nonforcible",1,
Liquor Laws Violations,4,
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,61,1
Conspiracy,0,0
All Other (except Traffic),1282,10
TOTAL GROUP B,1890,17
GRAND TOTAL,3088,63
