Arrests by Offense,Montgomery,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",14,0
Robbery,2,0
Aggravated Assault,35,3
Simple Assault/Intimidation,188,10
Arson,2,0
Extortion/Blackmail,0,0
Burglary,13,4
Larceny,140,18
Motor Vehicle Theft,8,6
Counterfeiting/Forgery,21,0
Fraud,33,4
Embezzlement,10,0
Stolen Property,6,2
Vandalism,28,4
Drug/Narcotic Offenses,201,7
"Sex Offenses, Nonforcible",1,0
Pornography,1,0
Gambling,,0
Prostitution,2,0
Bribery,0,0
Weapon Law Violations,18,0
TOTAL GROUP A,724,58
Bad Checks,7,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,19,3
Driving Under Influence,430,6
Drunkenness,577,2
"Family Offenses, Nonforcible",4,
Liquor Laws Violations,268,20
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,33,2
Conspiracy,1,0
All Other (except Traffic),140,10
TOTAL GROUP B,1480,43
GRAND TOTAL,2204,101
