Arrests by Offense,Richmond,
,Adult,Juvenile
Murder,20,1
Manslaughter,2,0
Kidnaping,21,0
"Sex Offenses, Forcible",34,14
Robbery,99,24
Aggravated Assault,302,51
Simple Assault/Intimidation,983,289
Arson,15,13
Extortion/Blackmail,2,0
Burglary,141,37
Larceny,448,55
Motor Vehicle Theft,137,62
Counterfeiting/Forgery,52,2
Fraud,27,0
Embezzlement,9,0
Stolen Property,5,1
Vandalism,48,44
Drug/Narcotic Offenses,1400,63
"Sex Offenses, Nonforcible",6,2
Pornography,0,0
Gambling,3,1
Prostitution,168,2
Bribery,0,0
Weapon Law Violations,106,8
TOTAL GROUP A,"4,028",669
Bad Checks,79,0
Curfew/Loitering/Vagrancy,2,34
Disorderly Conduct,79,94
Driving Under Influence,315,0
Drunkenness,503,3
"Family Offenses, Nonforcible",17,1
Liquor Laws Violations,,
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,0,0
Conspiracy,0,0
All Other (except Traffic),3167,82
TOTAL GROUP B,4162,214
GRAND TOTAL,8190,883
