Arrests by Offense,Pulaski,
,Adult,Juvenile
Murder,3,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",8,0
Robbery,6,0
Aggravated Assault,29,3
Simple Assault/Intimidation,178,9
Arson,0,0
Extortion/Blackmail,3,0
Burglary,25,2
Larceny,115,11
Motor Vehicle Theft,4,1
Counterfeiting/Forgery,15,2
Fraud,2,0
Embezzlement,1,0
Stolen Property,8,0
Vandalism,9,0
Drug/Narcotic Offenses,124,9
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,19,4
TOTAL GROUP A,551,41
Bad Checks,79,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,35,
Driving Under Influence,177,0
Drunkenness,314,0
"Family Offenses, Nonforcible",1,
Liquor Laws Violations,18,2
Peeping Tom,1,0
Runaway,0,0
Trespass of Real Property,56,0
Conspiracy,0,0
All Other (except Traffic),745,38
TOTAL GROUP B,1426,40
GRAND TOTAL,1977,81
