Arrests by Offense,Martinsville,
,Adult,Juvenile
Murder,3,1
Manslaughter,1,0
Kidnaping,1,0
"Sex Offenses, Forcible",4,4
Robbery,1,0
Aggravated Assault,30,1
Simple Assault/Intimidation,184,23
Arson,0,0
Extortion/Blackmail,0,0
Burglary,14,13
Larceny,72,11
Motor Vehicle Theft,4,6
Counterfeiting/Forgery,39,0
Fraud,18,0
Embezzlement,10,0
Stolen Property,1,0
Vandalism,13,4
Drug/Narcotic Offenses,54,9
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,1,0
Bribery,2,0
Weapon Law Violations,15,4
TOTAL GROUP A,467,76
Bad Checks,32,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,45,5
Driving Under Influence,118,2
Drunkenness,142,2
"Family Offenses, Nonforcible",4,1
Liquor Laws Violations,28,11
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,28,0
Conspiracy,0,0
All Other (except Traffic),289,28
TOTAL GROUP B,686,49
GRAND TOTAL,1153,125
