Arrests by Offense,Floyd,
,Juvenile,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,0,0
"Sex Offenses, Forcible",1,4
Robbery,0,1
Aggravated Assault,0,5
Simple Assault/Intimidation,,26
Arson,0,1
Extortion/Blackmail,0,0
Burglary,2,14
Larceny,1,7
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,0,1
Fraud,0,0
Embezzlement,0,0
Stolen Property,0,2
Vandalism,3,3
Drug/Narcotic Offenses,1,20
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,3,3
TOTAL GROUP A,11,87
Bad Checks,,0
Curfew/Loitering/Vagrancy,,0
Disorderly Conduct,1,2
Driving Under Influence,0,7
Drunkenness,1,4
"Family Offenses, Nonforcible",,
Liquor Laws Violations,,16
Peeping Tom,0,0
Runaway,0,5
Trespass of Real Property,0,5
Conspiracy,0,0
All Other (except Traffic),12,34
TOTAL GROUP B,14,73
GRAND TOTAL,25,160
