Type of weapon ,Description ,Amount
Gun ,Derringer ,4
Gun ,Firearm ,41
Gun ,Handgun ,325
Gun ,Rifle,61
Gun ,Shotgun ,44
Gun ,Other firearm ,6
Gun ,TOTAL ,481
Other weapon ,Butcher/steak knife ,52
Other weapon ,Machete ,3
Other weapon ,Pocket knife ,89
Other weapon ,Simulated gun ,31
Other weapon ,Switchblade ,1
Other weapon ,Sword ,2
Other weapon ,Other weapon ,23
Other weapon ,TOTAL ,201
