Rank,Accident Location,Total
1,Laburnum Avenue and Gay Avenue ,53
2,Nine Mile Road and Laburnum Avenue ,29
3,Williamsburg Road and Laburnum Avenue ,16
4,Laburnum Avenue and Darbytown Road ,15
5,Williamsburg Road and Brittles Lanes ,15
6,Laburnum Avenue and Creighton Road ,13
7,Masonic Lane and Gay Avenue ,12
8,Strath Road and New Market Road ,12
9,Laburnum Avenue and Audubon Drive ,11
10,Laburnum Avenue and Eubank Road ,11
