Rank,Accident Location,Total
1,Parham Road and Brook Road ,44
2,Mechanicsville Turnpike and Laburnum Avenue ,29
3,Mechanicsville Turnpike and Crump Street ,24
4,Woodman Road and Parham Road ,18
5,Woodman Road and Hungary Road ,16
6,Virginia Center Parkway and Brook Road ,14
7,Laburnum Avenue and Harvie Road ,13
8,Richmond-Henrico Turnpike and Azalea Avenue ,13
9,Lakeside Avenue and Brook Road ,12
10,Laburnum Avenue and Harris Avenue ,10
