Note,Description
1,"Henrico County Police Division, Grants and Surveys Coordinator"
2,"Henrico County Department of Planning, as of December 2012 (3C Studies)"
3,"Henrico County Department of Finance, Office of Management and Budget, Approved All Funds Expenditures, FY2012-2013"
4,"Henrico County Police Division, Personnel Unit"
5,"Henrico County Police Division, Criminal Records Unit"
6,"Henrico County Police Division, Crime Analysis and Strategic Evaluation Unit. Street values derived from Virginia State Police “Quarterly Street Drug Report,”"
