Rank,Accident Location,Total
1,West Broad Street and Brookriver Drive ,56
2,West Broad Street and John Rolfe Parkway ,45
3,West Broad Street and Gaskins Road ,39
4,West Broad Street and Glenside Drive ,32
5,Staples Mill Road and Parham Road ,31
6,Staples Mill Road and Hungary Road ,24
7,Three Chopt Road and Parham Road ,23
8,West Broad Street and I-64 ,23
9,Three Chopt Road and Gaskins Road ,21
10,Glenside Drive and Forest Avenue (W) ,21
