Magisterial District,2013,2012,2011,2010,2009
Brookland,1634,1633,1425,1529,1797
Fairfield,2540,2666,2538,2378,2547
Three Chopt,1120,1343,1439,1512,1876
Tuckahoe,976,744,895,938,984
Varina,2182,2157,1945,1867,1963
