Drug ,Amount ,Street Value
Heroin ,766 grams ,"$191,502.50"
Cocaine ,"1,616.3 grams ","$193,954.80"
Marijuana ,"102,545.5 grams ","$1,025,454.70"
TOTAL ,,"$1,410,912.00"
