Date,Offense,Street,Subdivison,Zip,E.D.,City,Area
1/20/2002,RECOVERED VEHICLE-STOLEN OTHER,BANNAKER DRIVE,20,23185,1,WILLIAMSBURG,300
8/15/2002,"ASSAULT, SIMPLE",BANNAKER DRIVE,20,23185,1,WILLIAMSBURG,300
10/14/2002,"ASSAULT, AGGRAVATED, DOMESTIC",BANNAKER DRIVE,20,23185,1,WILLIAMSBURG,300
11/30/2002,RUNAWAY JUVENILE,BANNAKER DRIVE,20,23185,1,WILLIAMSBURG,300
11/15/2002,CITIZEN REQUESTED ASSISTANCE,BANNEKAR DRIVE,20,23185,1,WILLIAMSBURG,300
5/17/2002,"LARCENY,FROM MOTOR VEHICLE",BANNEKER DRIVE,20,23185,1,WILLIAMSBURG,300
8/20/2002,"LARCENY,FROM MOTOR VEHICLE",BANNEKER DRIVE,20,23185,1,WILLIAMSBURG,300
8/21/2002,RECOVERED VEHICLE-STOLEN OTHER,BANNEKER DRIVE,20,23185,1,WILLIAMSBURG,300
1/12/2002,CITIZEN REQUESTED ASSISTANCE,BASTILLE COURT,227,23185,1,WILLIAMSBURG,300
3/25/2002,"ASSAULT, AGGRAVATED",BERKLEY DRIVE,244,23185,1,WILLIAMSBURG,300
11/21/2002,MAIMING,BETHUNE & DREW ROAD,20,23185,1,WILLIAMSBURG,300
6/10/2002,UNAUTHORIZED USE OF VEHICLE,BETHUNE DRIVE,20,23185,1,WILLIAMSBURG,300
7/30/2002,"ASSAULT, SIMPLE",BETHUNE DRIVE,20,23185,1,WILLIAMSBURG,300
8/24/2002,GRAND LARCENY,BETHUNE DRIVE,20,23185,1,WILLIAMSBURG,300
8/24/2002,CITIZEN REQUESTED ASSISTANCE,BETHUNE DRIVE,20,23185,1,WILLIAMSBURG,300
4/2/2002,"ASSAULT, SIMPLE, DOMESTIC",BLALOCK DRIVE,244,23185,1,WILLIAMSBURG,300
5/18/2002,TRESPASSING,BOSTON COMMONS,60,23185,1,WILLIAMSBURG,300
3/3/2002,CITIZEN REQUESTED ASSISTANCE,BRITTANIA DRIVE,161,23185,1,WILLIAMSBURG,300
8/9/2002,"ASSAULT, SIMPLE, DOMESTIC",BRITTANIA DRIVE,161,23185,1,WILLIAMSBURG,300
5/8/2002,RUNAWAY JUVENILE,BRUTON DRIVE,135,23185,1,WILLIAMSBURG,300
5/28/2002,GRAND LARCENY,BRUTON DRIVE,135,23185,1,WILLIAMSBURG,300
7/8/2002,GRAND LARCENY,BRUTON DRIVE,135,23185,1,WILLIAMSBURG,300
9/15/2002,CITIZEN REQUESTED ASSISTANCE,BRUTON DRIVE,135,23185,1,WILLIAMSBURG,300
9/24/2002,CITIZEN REQUESTED ASSISTANCE,BRUTON DRIVE,135,23185,1,WILLIAMSBURG,300
9/25/2002,"ASSAULT, SIMPLE, DOMESTIC",BRUTON DRIVE,135,23185,1,WILLIAMSBURG,300
2/1/2002,"ASSAULT, SIMPLE",BUNCHE DRIVE,20,23185,1,WILLIAMSBURG,300
11/27/2002,PETIT LARCENY,BURNHAM ROAD,125,23185,1,WILLIAMSBURG,300
1/7/2002,PETIT LARCENY,BYPASS ROAD,229,23185,1,WILLIAMSBURG,300
