Arrests by Offense,Suffolk,
,Adult,Juvenile
Murder,6,0
Manslaughter,0,0
Kidnaping,16,0
"Sex Offenses, Forcible",10,2
Robbery,25,4
Aggravated Assault,44,3
Simple Assault/Intimidation,507,10
Arson,1,0
Extortion/Blackmail,0,0
Burglary,39,2
Larceny,216,13
Motor Vehicle Theft,0,1
Counterfeiting/Forgery,17,0
Fraud,33,0
Embezzlement,17,0
Stolen Property,13,0
Vandalism,43,5
Drug/Narcotic Offenses,391,11
"Sex Offenses, Nonforcible",3,0
Pornography,1,0
Gambling,4,0
Prostitution,7,0
Bribery,0,0
Weapon Law Violations,54,1
TOTAL GROUP A,1447,52
Bad Checks,52,0
Curfew/Loitering/Vagrancy,0,50
Disorderly Conduct,56,0
Driving Under Influence,305,1
Drunkenness,220,0
"Family Offenses, Nonforcible",30,0
Liquor Laws Violations,36,2
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,96,2
Conspiracy,0,0
All Other (except Traffic),863,7
TOTAL GROUP B,1658,62
GRAND TOTAL,3105,114
