Arrests by Offense,Charlottesville,
,Adult,Juvenile
Murder,8,0
Manslaughter,0,0
Kidnaping,5,0
"Sex Offenses, Forcible",10,0
Robbery,14,7
Aggravated Assault,54,1
Simple Assault/Intimidation,347,10
Arson,2,5
Extortion/Blackmail,1,1
Burglary,18,2
Larceny,156,9
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,17,0
Fraud,25,0
Embezzlement,12,0
Stolen Property,11,3
Vandalism,40,1
Drug/Narcotic Offenses,212,7
"Sex Offenses, Nonforcible",3,0
Pornography,0,1
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,16,1
TOTAL GROUP A,952,48
Bad Checks,356,1
Curfew/Loitering/Vagrancy,0,1
Disorderly Conduct,42,3
Driving Under Influence,184,1
Drunkenness,552,0
"Family Offenses, Nonforcible",4,0
Liquor Laws Violations,45,9
Peeping Tom,1,0
Runaway,0,40
Trespass of Real Property,249,2
Conspiracy,0,0
All Other (except Traffic),1052,24
TOTAL GROUP B,2485,81
GRAND TOTAL,3437,129
