Arrests by Offense,Louisa,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",2,3
Robbery,0,0
Aggravated Assault,9,1
Simple Assault/Intimidation,87,6
Arson,1,3
Extortion/Blackmail,0,0
Burglary,6,2
Larceny,18,3
Motor Vehicle Theft,4,0
Counterfeiting/Forgery,0,0
Fraud,7,0
Embezzlement,0,0
Stolen Property,2,1
Vandalism,3,1
Drug/Narcotic Offenses,117,3
"Sex Offenses, Nonforcible",1,1
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,18,0
TOTAL GROUP A,278,24
Bad Checks,0,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,3,1
Driving Under Influence,119,2
Drunkenness,87,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,8,2
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,15,5
Conspiracy,0,0
All Other (except Traffic),72,8
TOTAL GROUP B,304,19
GRAND TOTAL,582,43
