Arrests by Offense,Nottoway,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,1,0
"Sex Offenses, Forcible",2,0
Robbery,2,0
Aggravated Assault,14,0
Simple Assault/Intimidation,79,2
Arson,0,0
Extortion/Blackmail,0,0
Burglary,7,4
Larceny,46,9
Motor Vehicle Theft,1,0
Counterfeiting/Forgery,6,0
Fraud,2,0
Embezzlement,2,0
Stolen Property,4,0
Vandalism,46,13
Drug/Narcotic Offenses,38,0
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,7,0
TOTAL GROUP A,257,28
Bad Checks,120,0
Curfew/Loitering/Vagrancy,0,1
Disorderly Conduct,15,1
Driving Under Influence,64,1
Drunkenness,34,0
"Family Offenses, Nonforcible",2,0
Liquor Laws Violations,0,0
Peeping Tom,0,0
Runaway,0,5
Trespass of Real Property,26,0
Conspiracy,3,0
All Other (except Traffic),223,6
TOTAL GROUP B,487,14
GRAND TOTAL,744,42
