Arrests by Offense,Greensville,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",1,0
Robbery,1,0
Aggravated Assault,4,0
Simple Assault/Intimidation,29,0
Arson,0,0
Extortion/Blackmail,0,0
Burglary,4,3
Larceny,8,0
Motor Vehicle Theft,2,0
Counterfeiting/Forgery,4,0
Fraud,0,0
Embezzlement,0,0
Stolen Property,3,0
Vandalism,6,1
Drug/Narcotic Offenses,84,2
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,7,0
TOTAL GROUP A,155,6
Bad Checks,3,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,4,0
Driving Under Influence,64,0
Drunkenness,16,0
"Family Offenses, Nonforcible",2,0
Liquor Laws Violations,0,0
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,5,0
Conspiracy,1,0
All Other (except Traffic),208,3
TOTAL GROUP B,303,3
GRAND TOTAL,458,9
