Arrests by Offense,Stafford,
,Adult,Juvenile
Murder,2,0
Manslaughter,1,0
Kidnaping,14,1
"Sex Offenses, Forcible",35,3
Robbery,13,4
Aggravated Assault,61,12
Simple Assault/Intimidation,373,76
Arson,2,5
Extortion/Blackmail,0,0
Burglary,37,17
Larceny,228,105
Motor Vehicle Theft,18,4
Counterfeiting/Forgery,27,0
Fraud,66,3
Embezzlement,26,2
Stolen Property,14,2
Vandalism,72,21
Drug/Narcotic Offenses,587,78
"Sex Offenses, Nonforcible",0,0
Pornography,3,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,40,6
TOTAL GROUP A,1619,339
Bad Checks,47,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,32,41
Driving Under Influence,514,5
Drunkenness,281,0
"Family Offenses, Nonforcible",9,0
Liquor Laws Violations,187,120
Peeping Tom,0,0
Runaway,0,149
Trespass of Real Property,74,12
Conspiracy,2,1
All Other (except Traffic),2064,88
TOTAL GROUP B,3210,416
GRAND TOTAL,4829,755
