Arrests by Offense,Prince William,
,Adult,Juvenile
Murder,19,1
Manslaughter,0,0
Kidnaping,38,1
"Sex Offenses, Forcible",52,26
Robbery,86,32
Aggravated Assault,131,24
Simple Assault/Intimidation,1201,371
Arson,3,10
Extortion/Blackmail,1,0
Burglary,134,80
Larceny,962,233
Motor Vehicle Theft,44,18
Counterfeiting/Forgery,122,7
Fraud,192,12
Embezzlement,110,10
Stolen Property,59,23
Vandalism,166,95
Drug/Narcotic Offenses,1773,193
"Sex Offenses, Nonforcible",9,0
Pornography,3,2
Gambling,4,0
Prostitution,41,1
Bribery,0,0
Weapon Law Violations,105,28
TOTAL GROUP A,5255,1167
Bad Checks,20,0
Curfew/Loitering/Vagrancy,4,86
Disorderly Conduct,76,107
Driving Under Influence,1475,8
Drunkenness,262,20
"Family Offenses, Nonforcible",18,1
Liquor Laws Violations,39,39
Peeping Tom,2,0
Runaway,0,1085
Trespass of Real Property,35,18
Conspiracy,1,0
All Other (except Traffic),985,109
TOTAL GROUP B,2917,1473
GRAND TOTAL,8172,2640
