Arrests by Offense,Henry,
,Adult,Juvenile
Murder,4,4
Manslaughter,0,0
Kidnaping,7,0
"Sex Offenses, Forcible",5,0
Robbery,10,3
Aggravated Assault,53,1
Simple Assault/Intimidation,350,15
Arson,1,0
Extortion/Blackmail,0,0
Burglary,48,16
Larceny,172,9
Motor Vehicle Theft,17,1
Counterfeiting/Forgery,17,0
Fraud,36,1
Embezzlement,16,0
Stolen Property,3,0
Vandalism,39,4
Drug/Narcotic Offenses,148,6
"Sex Offenses, Nonforcible",1,0
Pornography,1,0
Gambling,0,0
Prostitution,1,0
Bribery,0,0
Weapon Law Violations,23,3
TOTAL GROUP A,952,63
Bad Checks,40,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,24,1
Driving Under Influence,149,1
Drunkenness,317,1
"Family Offenses, Nonforcible",2,0
Liquor Laws Violations,9,1
Peeping Tom,0,0
Runaway,0,15
Trespass of Real Property,20,0
Conspiracy,3,0
All Other (except Traffic),893,25
TOTAL GROUP B,1457,44
GRAND TOTAL,2409,107
