Arrests by Offense,Appomattox,
,Adult,Juvenile
Murder,0,0
Manslaughter,1,0
Kidnaping,0,0
"Sex Offenses, Forcible",0,1
Robbery,0,0
Aggravated Assault,4,1
Simple Assault/Intimidation,17,9
Arson,0,0
Extortion/Blackmail,0,0
Burglary,0,0
Larceny,22,1
Motor Vehicle Theft,0,0
Counterfeiting/Forgery,1,0
Fraud,3,0
Embezzlement,2,0
Stolen Property,0,0
Vandalism,5,0
Drug/Narcotic Offenses,36,1
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,7,1
TOTAL GROUP A,98,14
Bad Checks,1,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,0,3
Driving Under Influence,63,1
Drunkenness,7,0
"Family Offenses, Nonforcible",0,0
Liquor Laws Violations,0,3
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,3,2
Conspiracy,0,0
All Other (except Traffic),21,1
TOTAL GROUP B,95,10
GRAND TOTAL,193,24
