Arrests by Offense,Radford,
,Adult,Juvenile
Murder,1,0
Manslaughter,0,0
Kidnaping,3,0
"Sex Offenses, Forcible",6,1
Robbery,0,2
Aggravated Assault,29,1
Simple Assault/Intimidation,172,6
Arson,1,1
Extortion/Blackmail,0,0
Burglary,16,1
Larceny,47,4
Motor Vehicle Theft,4,0
Counterfeiting/Forgery,19,0
Fraud,43,0
Embezzlement,1,0
Stolen Property,1,0
Vandalism,32,3
Drug/Narcotic Offenses,174,1
"Sex Offenses, Nonforcible",0,0
Pornography,1,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,9,1
TOTAL GROUP A,559,21
Bad Checks,90,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,21,0
Driving Under Influence,126,1
Drunkenness,183,0
"Family Offenses, Nonforcible",3,0
Liquor Laws Violations,518,2
Peeping Tom,0,0
Runaway,0,0
Trespass of Real Property,29,0
Conspiracy,9,0
All Other (except Traffic),370,6
TOTAL GROUP B,1349,9
GRAND TOTAL,1908,30
