Arrests by Offense,Manassas Park,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",2,1
Robbery,0,0
Aggravated Assault,10,1
Simple Assault/Intimidation,37,3
Arson,0,0
Extortion/Blackmail,0,0
Burglary,6,5
Larceny,16,5
Motor Vehicle Theft,3,0
Counterfeiting/Forgery,2,0
Fraud,4,0
Embezzlement,2,0
Stolen Property,2,0
Vandalism,2,1
Drug/Narcotic Offenses,84,5
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,1,0
Weapon Law Violations,5,2
TOTAL GROUP A,178,23
Bad Checks,2,0
Curfew/Loitering/Vagrancy,0,0
Disorderly Conduct,10,1
Driving Under Influence,80,0
Drunkenness,104,1
"Family Offenses, Nonforcible",1,0
Liquor Laws Violations,10,4
Peeping Tom,0,0
Runaway,0,1
Trespass of Real Property,9,1
Conspiracy,1,0
All Other (except Traffic),84,6
TOTAL GROUP B,301,14
GRAND TOTAL,479,37
