Arrests by Offense,Warren,
,Adult,Juvenile
Murder,0,0
Manslaughter,0,0
Kidnaping,2,0
"Sex Offenses, Forcible",4,1
Robbery,3,0
Aggravated Assault,9,2
Simple Assault/Intimidation,196,22
Arson,3,0
Extortion/Blackmail,0,0
Burglary,9,2
Larceny,138,29
Motor Vehicle Theft,13,1
Counterfeiting/Forgery,13,0
Fraud,6,0
Embezzlement,5,0
Stolen Property,1,1
Vandalism,26,3
Drug/Narcotic Offenses,226,11
"Sex Offenses, Nonforcible",0,0
Pornography,0,0
Gambling,0,0
Prostitution,0,0
Bribery,0,0
Weapon Law Violations,15,0
TOTAL GROUP A,669,72
Bad Checks,35,0
Curfew/Loitering/Vagrancy,0,43
Disorderly Conduct,6,4
Driving Under Influence,274,0
Drunkenness,407,2
"Family Offenses, Nonforcible",18,1
Liquor Laws Violations,37,27
Peeping Tom,0,0
Runaway,0,59
Trespass of Real Property,64,10
Conspiracy,0,1
All Other (except Traffic),681,94
TOTAL GROUP B,1522,241
GRAND TOTAL,2191,313
