Fiscal Year,Grant Funding
2005,$239994.42
2006,$177070.00
2007,$107834.00
2008,$202129.00
2009,$748937.00
2010,$463446.00
2011,$244068.00
2012,$72723.00
2013,$82252.00
2014,$43550.00
