IBR CATEGORY,2011,2012,Difference,% Change,"2012 Crime Rate(per 100,000)*"
Assault Offenses,"7,822","7,780",-42,-0.54%,695.51
Homicide Offenses,12,16,4,33.33%,1.43
Kidnapping/Abduction,129,144,15,11.63%,12.87
"Sex Offenses, Forcible",288,295,7,2.43%,26.37
"Sex Offenses, Nonforcible",8,6,-2,-25.00%,0.54
TOTAL,"8,259","8,241",-18,-0.22%,736.72
