Calendar Year,Population,Total number of Crime Incidents,"Incident rate per 100,000",Total Arrests (Adult)
1999,"57,500","2,788","4,848.69","1,461"
2000,"56,297","2,436","4,327.10","1,085"
2001,"58,700","2,758","4,698.46","1,137"
2002,"58,800","2,392","4,068.02","1,074"
2003,"60,400","2,463","4,077.81",959
2004,"61,500","2,833","4,606.50","1,116"
2005,"61,500","2,840","4,617.88","1,030"
