Intersection,Total
Edsall Road and S. Van Dorn Street,29
Duke Street and S. Quaker Lane,26
N. Beauregard Street and Seminary Lane,26
Duke Street and S. Walker Street,25
N. Beauregard Street and King Street,19
Duke Street and Sweeley Street,18
Duke Street and S. Pickett Street,18
Duke Street and N. Jordan Street,17
Pershing Street and Telegraph Road,17
Duke Street and Henry Street,16
