Facts,Figures
FY 2007 Department Budget,"$49,451,928"
FY 2008 Department Budget,"$51,378,889"
"FY 2007 Strength, Sworn Officers",315
"FY 2007 Strength, Civilian Personnel",146
Calls for Service - CY 2007,"57,508"
Criminal Arrests (Adult and Juvenile) - CY 2007,"6,902"
