Police Zone,Neighborhoods Within Police Zone
Zone 1,"Bragg Hill, Heritage Park, Forest Village, Fall Hill Apartments, Crestview, Riverside Manor Townhomes, Central Park shopping center"
Zone 2,"Wellington Woods, Wellington Lakes, Townsend Square Apartments, Idlewild, Greenbrier Apartments, Braehead, Westwood, all the neighborhoods off Lafayette Blvd south of the Blue and Gray Pkwy"
Zone 3,"Upper College Heights, University of Mary Washington, Mary Washington Hospital and surrounding neighborhoods, Normandy Village, northern business section of Route 1, upper section of Princess Anne St, James Monroe High School and neighborhoods surrounding it off Fall Hill Ave and Washington Ave"
Zone 4,"Lower College Heights, Historic Downtown (business and residential), Hazel Hill, Darbytown, Mayfield, Dixon Park, train station"
