Civil Process,Total
"Total civil process served January 1, 2011 to December 31, 2011","21,263"
"Total civil process served by Lt. Gerald Lacy, Sgt. Terry Cook, Deputy Devon Tweedy, Deputy John Wingfield, Deputy Allen Bowyer and Deputy Larry Rose","16,321"
"Total EPO, PPO, and OOP (includes all protective orders)","1,775"
Writ of Possession served,199
Levies served,40
