Criminal Investigation Division Statistics,Total
Felonies Worked,534
Felonies Cleared,386
Felony warrants Obtained,456
Misd. Worked,101
Misd. Cleared,97
Misd. Warrants Obtained,97
Polygraph examinations conducted,38
