"Statistic
",Total
Stray Animals Picked Up,"10,153"
Unwanted Animals Turned in by Owner,866
"Animals Returned to Owner by Officer
 (via License tag identification or some means of identification)",256
Animals Claimed by Owner,"2,451"
Animals Adopted by Citizens,"1,252"
Animal Cruelty Investigations,"1,927"
Animal Bite Reports Received,"1,391"
Animals Euthanized,"5,551"
