Year,Standardized,Non-Standardized
1990,21.00%,25.90%
1991,24.90%,25.90%
1992,21.60%,25.40%
1993,20.60%,24.90%
1994,19.60%,25.20%
1995,18.40%,25.30%
1996,16.80%,23.30%
1997,16.70%,22.60%
1998,18.30%,24.10%
1999,17.70%,25.00%
2000,16.20%,24.90%
2001,17.60%,27.00%
2002,18.30%,27.70%
2003,17.80%,27.60%
2004,18.20%,28.00%
2005,18.10%,27.50%
2006,17.60%,27.30%
