Year,VA DOC SR Releases
1990,"8,682"
1991,"9,265"
1992,"8,587"
1993,"10,462"
1994,"8,664"
1995,"8,390"
1996,"9,556"
1997,"9,939"
1998,"10,045"
1999,"9,331"
2000,"9,460"
2001,"9,420"
2002,"9,852"
2003,"10,759"
2004,"11,564"
2005,"11,973"
2006,"12,309"
