Year,Standardized TIS ,Standardized Parole
1997,22.90%,16.50%
1998,19.70%,18.00%
1999,17.80%,17.60%
2000,16.30%,16.10%
2001,16.60%,19.10%
2002,18.30%,18.30%
2003,17.20%,19.90%
2004,17.50%,21.40%
2005,18.00%,19.20%
2006,17.60%,17.30%
