Physical Arrests Miscellaneous Statistics,Number
Total Invididuals Arrested,1173
Average Number of Arrests Per Month,98
Percentage of Arrestees Male,81.50%
Percentage of Arrestees Female,18%
Percentage of Arrestees Juvenile,0.20%
