Type of Crime,2009,2010,2011
Murder & Attempts,0,0,0
Rape & Attempts,15,14,15
Robbery,12,9,6
Felonious Assault,19,13,227
Burglary,168,128,73
Larceny,481,709,488
Motor Vehicle Theft,30,27,16
